1;6 x kromka chlebu pszennego z past¹ z ciecierzycy i awokado;338
2;Tosty z serem mozzarella (2 x kromka);300
3;Jajko sadzone na grzance z guacamole (2 x kromka);432
4;Kanapki z past¹ rybno-pomidorow¹ (4 x kromka);512
5;Jajecznica ze szpinakiem ;308
6;Omlet kokosowy z owocami;345
7;Jajecznica na maœle z pomidorami i pieczarkami;390
8;Omlet kokosowy z mas³em orzechowym;460
9;Owsianka na mleku;205
10;Owsianka bounty z malinami;375
